country,genre,topic,author,name,description,year
čeští,faktografická literatura,historie,Břetislav Vachala,Staří Egypťané,"Autor, přední český egyptolog (současný zástupce ředitele Egyptologického ústavu UK v Praze), archeolog a diplomat, za dlouhá léta studií i pobytu v Egyptě důvěrně poznal jak zemi, tak její památky. Čtivým jazykem přináší čtenáři uvážlivý výběr z toho nejzajímavějšího, co staro egyptská civilizace vytvořila, ale podává rovněž pestrý obraz různých aspektů života tehdejších lidí. Knížku ocení v neposlední řadě i ti, kteří si vybrali Egypt jako cíl své dovolené.",2001
čeští,faktografická literatura,život,Ladislav Špaček,Slon v porcelánu aneb Jak se neztratit v labyrintu etikety,"Univerzální rádce pro děti a mládež: v knize najdete vše, co potřebujete, abyste elegantně a s přehledem zvládli každodenní i výjimečné situace. Vtipná knížka odborníka na slušné chování s množstvím názorných ilustrací. Předcházet netaktnostem a trapným situacím je lepší, než je později napravovat. Naše chování je ta nejlepší prezentace a tato kniha je právě o tom, jak se zachovat v každodenních situacích, ale i při slavnostních příležitostech. Dobré vychování je dnes opět žádané a nepostradatelné pro každého, kdo chce být úspěšný!",2006
čeští,faktografická literatura,historie,Lenka Procházková,Slunce v úplňku - Příběh Jana Palacha,"Příběh o osobnosti studenta Jana Palacha, který se stal symbolem českého odporu proti invazi vojsk Varšavské smlouvy v srpnu 1968, z historicko-politického pohledu detailně líčí události i atmosféru ve společnosti až do ledna 1969. Lenka Procházková se pokouší ze skromných indicií vytvořit obraz charakteru a osobnosti člověka, pro něhož invaze a pozdější reakce veřejnosti i vlády na ruskou okupaci byly podnětem k promyšlenému burcujícímu činu, který otřásl celou společností pomalu upadající do normalizačních podmínek. vytvořila postavu citlivého, realisticky uvažujícího a politicky vyzrálého mladého muže, který věřil, že svým sebezničujícím činem dává společnosti poslední šanci na dosažení politické změny.",2008
čeští,faktografická literatura,historie,Bořivoj Záruba,Jak se loví dinosauři,"Kniha o historii, zajímavostech a záhadách planety Země, která se čte jako detektivní román, je dílem erudovaného paleontologa a úspěšného autora mnoha polulárně naučných knih pro mládež i dospělé čtenáře. V knize, doplněné mnoha fotografiemi a ilustracemi, se snaží najít odpověď na nejrůznější otázky, které napadají obyvatele modré planety: Co dokážou sopky? Jak to bylo s potopou světa? Kde leží kolébka lidstva? Kdo byli převozníci života? Kde má historie Země začátek. Dá se přejít do Ameriky suchou nohou?",2007
zahraniční,faktografická literatura,život,Satchin Panda,Cirkadiánní kód,"Je to tak snadné: stačí udržovat skrytý rytmus těla, které střídavě zapíná a vypíná své funkce, aby kromě práce zvládlo i regeneraci – a naše zdraví se zase vrátí ke své dokonalosti. Kdyby ale byly tyto poznatky tak samozřejmé, objevy na poli cirkadiánních rytmů by byly v roce 2017 je n těžko vyznamenány udělením Novelovy ceny. Civilizační výdobytky nám totiž tyto evolučně nastavené procesy skryly. S Pandovou poutavou knihou držíte v rukou příležitost, jak seřídit hodiny svého těla a trvale dosáhnout fyzické a duševní pohody. Naučíte se ovládat intenzitu světla, načasovat správně své jídlo, vyladit pohybovou aktivitu a oddávat se hlubokému spánku. Během několika týdnů zjistíte, jak skvělé je žít ve zdravém těle plném energie.",2020
zahraniční,faktografická literatura,život,Matthew Walker,Proč spíme,"Kolik hodin jste dnes v noci spali? Pokud méně než osm, pak asi stejně jako většina lidstva trpíte spánkovou deprivací. A přicházíte o to nejlepší. Lidé, kteří si dopřávají dostatek spánku, jsou zdravější, chytřejší, štíhlejší, atraktivnější a šťastnější. Příčinu své úna vy a zdravotních potíží hledejte v nedostatku kvalitního spánku a pak teprve jinde.\n\nKniha předního světového neurovědce Matthewa Walkera odkrývá nejnovější poznatky z výzkumu spánku a ukazuje, že evoluce nás touto bezbrannou a neproduktivní fází denního rytmu nevybavila náhodou. Díky převratnému rozvoji a dostupnosti zobrazovacích metod dokáže věda poprvé v historii zodpovědět, proč vůbec spíme, jak spánek prospívá našemu tělu a mozku a proč má neřešená dlouhodobá spánková deprivace tak ničivé následky pro naše zdraví.\n\nWalker fascinujícím způsobem objasňuje vliv spánku na logické rozhodování, učení a paměť, na seřizování našich emocí a imunitní systém, ale i metabolismus a chuť k jídlu. A přesvědčivě dokládá, že chronický nedostatek kvalitního spánku nás může nejen mnoha různými způsoby zabít, ale také ovlivnit rozhodování a chování celé společnosti.\n\nSeznamte se i vy s posledními vědeckými objevy, díky nimž pochopíte, jaký elixír zdraví, štěstí i moudrosti ve svých životech (a postelích) máme. V knize najdete i rady, jak odstranit různé špatné návyky a další překážky, které brání kvalitnímu spánku vás i vašich blízkých. ",2018
zahraniční,faktografická literatura,historie,Barbara Cartland,Sissi - Soukromý život Alžběty; císařovny rakouské,"Se sympatiemi a pochopením pojatá biografie manželky Františka Josefa I., jejíž život byl nerozlučně spjatý s historií a osudem dynastie.\n\nAutorka zachycuje osud ženy, poznamenaný rodinnou výchovou na dvoře bavorského vévody, aristokratickou tradicí, ale zejména diktaturou tchyně, arcivévodkyně Žofie a manželovou oddaností k matce, dvorskému ceremoniálu a službě říši.",1992
čeští,dobrodružná literatura,dobrodružství,František Novotný,Robinson Crusoe,"Nové převyprávění nesmrtelného příběhu o světoznámém trosečníkovi klade důraz na vlastnosti, bez nichž se člověk, jenž chce přežít v nebezpečných podmínkách, nedokáže obejít. A to ani v dnešní době. Odvaha, vytrvalost a zejména zdravý rozum hlavnímu hrdinovi Robinovi rozhodně nechybí. Jinak by nedokázal přežít všechny strasti, které ho čekají?",2005
čeští,dobrodružná literatura,dobrodružství,Jaroslav Foglar,Záhada hlavolamu,"Hlavní roli v knize hraje chlapecký klub Rychlé šípy, již dříve čtenářům známý z komiksů. Foglar v knize poprvé představuje záhadnou čtvrť Stínadla a organizaci Vontů, hlavolam zvaný „ježek v kleci“ a ztraceného vynálezce Jana Tleskače, motivy později využité v dalších knihách, které se následně staly téměř kultovní součástí české kultury.",1941
čeští,dobrodružná literatura,dobrodružství,Jaroslav Foglar,Stínadla se bouří,"Po několika měsících klidu jsou Stínadla opět v pohybu. Nečekaná zpráva o znovunalezeném ježkovi v kleci spustí smršť nových událostí, vontské hnutí ožije a schyluje se k volbě Velkého Vonta. Pro všechny z okolních čtvrtí tak začíná být ve Stínadlech opět nebezpečno. To nemůžou Rychlé šípy nechat bez povšimnutí a samy se pouštějí do pátrání po hlavolamu. Chtěly by totiž získat plánek létajícího kola, který je v něm ukrytý.",1947
čeští,dobrodružná literatura,dobrodružství,Jaroslav Foglar,Hoši od Bobří řeky,"říběh o skautských výpravách, plnění bobříků, i o ryzím přátelství. Vedoucí Rikitan dá dohromady partu dvanácti chlapců a utvoří oddané bratrstvo. Každý z nich je jiný, ale všichni se navzájem skvěle doplňují. Rikitan pro chlapce vymýšlí zábavné hry, aby je vedl k čestnosti, fyzické síle i moudrosti. Společně si zamilovávají přírodu a podle zálesáka Roye loví bobříky. Stávají se tak věrnými kamarády, kteří spolu zažívají nezapomenutelná dobrodružství.",1937
čeští,dobrodružná literatura,dobrodružství,Jaroslav Foglar,Tajemství Velkého Vonta,"Po neklidné éře bezvládí ve Stínadlech zvítězilo vontské hnutí Žlutý květ. Velkým Vontem se stal Vláďa Dratuš, ale v poslední době s ním cosi není v pořádku – chová se čím dál nervózněji, a navíc se ulicemi šíří zvěsti, že přišel o ježka v kleci. Kdo je tajemný Cizinec, který Vláďu v poslední době navštívil, a co mu chtěl? Rychlé šípy musejí záhadě přijít na kloub dřív, než Stínadla opět zachvátí vlna násilí a nejistoty.",1986
čeští,dobrodružná literatura,historie,Eduard Štorch,Lovci mamutů,"Tento příběh vypráví o kmeni pravěkých lidí „Lovců mamutů“. Udál se asi před dvaceti až třiceti tisíci lety. Tehdy žila na Bílé skále tlupa pravěkých lidí. Ovládali jednoduchou řeč a doplňovali ji posunky a mimikou v obličeji.\nVěděli, že je oheň nejen zahřeje, ale dokáže upé ct maso a chránit před divokou zvěří. Oheň hořel před vchodem do jeskyně, aby dovnitř nemohly šelmy. Tehdy ho ještě neuměli rozdělat, tak spoléhali na přírodu a oheň donášeli.\nPříběh nám bude vyprávět o tom, jak lovili zvěř a jak z ní vše dokázali zužitkovat. Vnitřnosti zvěře jedli syrové, protože byly ještě teplé. Stažené kůže hned zpracovávaly ženy a děti. Lovili například zubry, lišky, ryby, ale také vlky a mamuty. Věřte, chytit takového mamuta je věc těžká, na kterou se museli dlouho připravovat. Museli nejdřív vykopat obrovskou jámu, do které toho mamuta museli vehnat.\nUčili se také vyrábět si nástroje, jako je například kámen opracovaný do tvaru slzy (pazourek). Díky pazourku, který poté použili na rozbíjení kamenů, dokázali vykřesat oheň. Ale to chtělo zručnost a trpělivost.\nPozději se jim podařilo dokonce rozdělat oheň za pomoci kousku dřeva. Oheň byl totiž v pravěku největší vynález pravěkých lidí a měl pro ně opravdu obrovský význam.\nDovídáme se tu také o cizích tlupách, například jak mezi sebou bojovali o území, o kořist atd. Při lovu nebo boji o území zahynula velká spousta pravěkých lidí. Byl to pro ně boj na život a na smrt.",1918
